pdb,names
5mro,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic"
5n9t,Ubiquitin carboxyl-terminal hydrolase 7
5ngz,Ubiquitin-conjugating enzyme E2 T
5nxd,LIM domain kinase 2
5o1s,Ribosomal protein S6 kinase alpha-3
5o2d,Poly [ADP-ribose] polymerase 14
5ogc,Kinesin-like protein KIF18A
5oj0,Penicillin-binding protein 2X
5on7,Epsin-2
5swo,"('Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform', 'Phosphatidylinositol 3-kinase regulatory subunit alpha')"
5u7m,Envelope glycoprotein gp160
5ue4,Matrix metalloproteinase-9
5urj,U5 small nuclear ribonucleoprotein 200 kDa helicase
5v03,"('Small conductance calcium-activated potassium channel protein 2', 'Calmodulin')"
5var,Lysine-specific demethylase 4A
5wmv,"Indoleamine 2,3-dioxygenase 1"
5wsb,Pyruvate kinase
5x33,"LTB4 receptor,Lysozyme,LTB4 receptor"
5xe9,"Putative ABC transporter, ATP-binding protein ComA"
5xez,"Glucagon receptor,Endolysin,Glucagon receptor"
5xzr,Tyrosine-protein phosphatase non-receptor type 11
5y66,Kynurenine 3-monooxygenase
5y8t,Transcriptional regulator
5zma,Eyes absent homolog 2
6bbq,"Cytohesin-3,ADP-ribosylation factor 6"
6bky,Isocitrate dehydrogenase [NADP] cytoplasmic
6bvn,Capsid protein
6c98,"('IgG receptor FcRn large subunit p51', 'Beta-2-microglobulin')"
6cwy,"('SUMO-activating enzyme subunit 1', 'SUMO-activating enzyme subunit 2')"
6d7o,Transient receptor potential cation channel subfamily V member 6
6dhm,"Glutamate dehydrogenase 1, mitochondrial"
6eg3,"Maltose/maltodextrin-binding periplasmic protein,Probable global transcription activator SNF2L2"
6f7i,Mucosa-associated lymphoid tissue lymphoma translocation protein 1
6fba,Aspartate transcarbamoylase
6gfm,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
6hgj,"('Alpha-1-antichymotrypsin', 'Alpha-1-antichymotrypsin')"
6hho,Receptor-interacting serine/threonine-protein kinase 1
6huj,"('Gamma-aminobutyric acid receptor subunit alpha-1,Gamma-aminobutyric acid receptor subunit alpha-1', 'Gamma-aminobutyric acid receptor subunit beta-3', 'Gamma-aminobutyric acid receptor subunit gamma-2')"
6hv0,Serine/threonine-protein kinase/endoribonuclease IRE1
6i5g,Bifunctional epoxide hydrolase 2
6iq4,"('Histone H2A type 1-B/E', 'Histone H2B type 1-J')"
6jta,Phosphoribosylformylglycinamidine synthase
6jvu,Serine acetyltransferase
6ku3,Gibberellin 2-beta-dioxygenase 3
6kun,2-oxoglutarate-dependent dioxygenase DAO
6mc1,Dual specificity protein phosphatase 10
6mo1,FLAVIVIRUS_NS2B/Peptidase S7
6ms7,Peroxisome proliferator-activated receptor gamma
6np0,5-hydroxytryptamine receptor 3A
6o0n,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
6pgr,Deoxyhypusine synthase
6pwh,Basic phospholipase A2 homolog 2
6px5,Prothrombin
6qjw,Tetracycline repressor protein class D
6qkw,Fluoroacetate dehalogenase
6r02,ATP phosphoribosyltransferase regulatory subunit
6r4d,Aurora kinase A
6rmd,"IMP-specific 5'-nucleotidase, putative"
6rrp,PvdP
6ruq,Glutamate receptor 2
6s8g,"Lipopolysaccharide ABC transporter, ATP-binding protein LptB"
6sbv,L-lactate dehydrogenase A chain
6swx,Putative methionyl-tRNA synthetase
6ta3,"('Tubulin alpha-1B chain', 'Kinesin-like protein KIF11')"
6thc,Coenzyme A biosynthesis bifunctional protein CoaBC
6u1n,"Muscarinic acetylcholine receptor M2, Vasopressin V2 receptor chimera"
6ueg,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
6ui4,myosin I
6usa,"('Tryptophan synthase alpha chain', 'Tryptophan synthase beta chain')"
6uxy,Protein arginine N-methyltransferase 5
6vvd,Dot/Icm T4SS effector
6w6d,Protein arginine N-methyltransferase 6
6wkn,Transient receptor potential cation channel subfamily V member 2
6x83,Tumor necrosis factor
