model	top1_retrieved	top1_retrieved_pct	Top1	Top2	Top3
model5	10	41,7	41.7% (10)	54.2% (13)	62.5% (15)
mefallosite	8	33,3	33.3% (8)	45.8% (11)	50% (12)
passer_automl	6	25,0	25% (6)	33.3% (8)	33.3% (8)
alloses	6	25,0	25% (6)	45.8% (11)	50% (12)
allositepro	4	16,7	16.7% (4)	16.7% (4)	16.7% (4)
passer_rank	4	16,7	16.7% (4)	25% (6)	33.3% (8)
allo	4	16,7	16.7% (4)	41.7% (10)	62.5% (15)
passer_ensemble	3	12,5	12.5% (3)	20.8% (5)	37.5% (9)
deepallo	3	12,5	12.5% (3)	16.7% (4)	20.8% (5)
